reference,aims_ancestry,aims_heterozygosity,tarsus.length,weight,tail.length,wing.cord,kipps,distal,carpal,p7,p8,p9,p10,bodyCondition,releaseDay,fall_detectDay1,fall_bearing1,range_norm_tarsus.length,range_norm_weight,range_norm_tail.length,range_norm_wing.cord,range_norm_kipps,range_norm_distal,range_norm_carpal,range_norm_p7,range_norm_p8,range_norm_p9,range_norm_p10,range_norm_releaseDay,range_norm_fall_detectDay1,range_norm_fall_bearing1,range_norm_bodyCondition,t5_spring40
BH28H07,0.8287721893,0.3291420118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5217391304,NA,NA,NA,0
BH28H08,0.3356824926,0.5289317507,29,30.1,67,93,26.8,58.1,66,76,75,69,15,1.037931034,240,265,137.9838,0.6774193548,0.5057471264,0.3529411765,0.2941176471,0.2545454545,0.4084507042,0.5454545455,0.4285714286,0.3846153846,0.3888888889,0.375,0.5217391304,0.625,0.4747239672,0.3930385303,0
BH30H07,0.2676005747,0.4619252874,28.8,30.4,70,95,31.5,59.6,66,75,76,72,15,1.055555556,242,254,137.9838,0.6451612903,0.5229885057,0.5294117647,0.4117647059,0.6818181818,0.514084507,0.5454545455,0.3571428571,0.4615384615,0.5555555556,0.375,0.6086956522,0.35,0.4747239672,0.4230114019,0
BH31H01,0.2846094354,0.524361949,27.7,29.7,69,100,33.1,60.9,66,79,78,73,16,1.072202166,243,260,130.8885936,0.4677419355,0.4827586207,0.4705882353,0.7058823529,0.8272727273,0.6056338028,0.5454545455,0.6428571429,0.6153846154,0.6111111111,0.5,0.652173913,0.5,0.4247813711,0.4513212049,0
BH31H02,0.6548703574,0.5781359495,29.5,29.9,70,96,30.6,57.7,67,78,76,75,16,1.013559322,243,NA,NA,0.7580645161,0.4942528736,0.5294117647,0.4705882353,0.6,0.3802816901,0.6363636364,0.5714285714,0.4615384615,0.7222222222,0.5,0.652173913,NA,NA,0.3515911511,0
BH31H03,0.5264136905,0.9263392857,28.4,30.2,71,92,28.2,54.4,65,74,73,68,16,1.063380282,243,254,189.3982671,0.5806451613,0.5114942529,0.5882352941,0.2352941176,0.3818181818,0.1478873239,0.4545454545,0.2857142857,0.2307692308,0.3333333333,0.5,0.652173913,0.35,0.8366263343,0.4363184025,1
BH31H04,0.4526542324,0.8823529412,28.4,28.8,72,94,29.1,59.1,65,76,76,71,15,1.014084507,243,259,191.8735431,0.5806451613,0.4310344828,0.6470588235,0.3529411765,0.4636363636,0.4788732394,0.4545454545,0.4285714286,0.4615384615,0.5,0.375,0.652173913,0.475,0.8540496063,0.3524842989,0
BH31H05,0.722310757,0.5346613546,27.9,31.5,68,97,30,59.9,66,77,76,72,15,1.129032258,243,251,189.3982671,0.5,0.5862068966,0.4117647059,0.5294117647,0.5454545455,0.5352112676,0.5454545455,0.5,0.4615384615,0.5555555556,0.375,0.652173913,0.275,0.8366263343,0.5479684297,0
BH31H06,0.4792709078,0.4653323803,27.3,29.4,70,96,28.5,58.9,66,75,75,69,14,1.076923077,243,NA,NA,0.4032258065,0.4655172414,0.5294117647,0.4705882353,0.4090909091,0.4647887324,0.5454545455,0.3571428571,0.3846153846,0.3888888889,0.25,0.652173913,NA,NA,0.4593497496,0
BH31H07,0.3204565408,0.6268656716,27.3,30.2,72,98,29.8,59.5,67,79,77,74,15,1.106227106,243,261,95.9694439,0.4032258065,0.5114942529,0.6470588235,0.5882352941,0.5272727273,0.5070422535,0.6363636364,0.6428571429,0.5384615385,0.6666666667,0.375,0.652173913,0.525,0.1789882383,0.5091851978,1
BH31H08,0.4676634214,0.6182197497,29.7,31.8,73,96,30.8,60.2,66,76,76,72,15,1.070707071,243,270,84.1399332,0.7903225806,0.6034482759,0.7058823529,0.4705882353,0.6181818182,0.5563380282,0.5454545455,0.4285714286,0.4615384615,0.5555555556,0.375,0.652173913,0.75,0.09572124827,0.4487785939,0
BH31H09,0.4279086367,0.4175588865,29.4,29.8,67,97,31.7,61.8,66,77,76,70,14,1.013605442,243,NA,NA,0.7419354839,0.4885057471,0.3529411765,0.5294117647,0.7,0.6690140845,0.5454545455,0.5,0.4615384615,0.4444444444,0.25,0.652173913,NA,NA,0.3516695846,0
BH31H10,0.1437104708,0.1791988756,27.3,30.9,68,97,30.9,60,66,76,76,73,16,1.131868132,243,NA,NA,0.4032258065,0.5517241379,0.4117647059,0.5294117647,0.6272727273,0.5422535211,0.5454545455,0.4285714286,0.4615384615,0.6111111111,0.5,0.652173913,NA,NA,0.5527912151,0
BH31H11,0.04237288136,0.0593220339,26,31.3,68,95,27.8,58.3,67,76,75,71,15,1.203846154,243,NA,NA,0.1935483871,0.5747126437,0.4117647059,0.4117647059,0.3454545455,0.4225352113,0.6363636364,0.4285714286,0.3846153846,0.5,0.375,0.652173913,NA,NA,0.6751995348,0
BH31H12,0.3758967001,0.668579627,31,34.7,74,100,28.7,64.8,71,81,81,77,16,1.119354839,243,261,120.5847585,1,0.7701149425,0.7647058824,0.7058823529,0.4272727273,0.8802816901,1,0.7857142857,0.8461538462,0.8333333333,0.5,0.652173913,0.525,0.3522534907,0.5315106749,0
